"Timestamp","ComputerName","UptimeDays","CPUPercent","MemoryUsedPercent","FreeMemoryGB","SystemDriveFreePercent","StoppedCriticalServices","CriticalErrorsLast24H","OverallHealth"
"7/25/2026 10:19:03 PM","SRV01","0.07","3.56","67.49","1.34","49","None","9","Warning"
"7/25/2026 10:25:00 PM","SRV01","0.07","16.01","69.75","1.24","48.99","None","9","Warning"
"7/25/2026 10:27:07 PM","SRV01","0.07","10.68","67.49","1.34","48.99","None","9","Warning"
"7/25/2026 10:34:00 PM","SRV01","0.08","1.77","68.25","1.3","48.99","None","9","Warning"
"7/25/2026 10:49:01 PM","SRV01","0.09","15.45","69.71","1.24","48.98","None","9","Warning"
