"ComputerName","ServiceName","DisplayName","State","StartMode","ProcessID","Status"
"SRV01","NTDS","Active Directory Domain Services","Running","Auto","804","Healthy"
"SRV01","DNS","DNS Server","Running","Auto","2308","Healthy"
"SRV01","DHCPServer","DHCP Server","Running","Auto","3036","Healthy"
"SRV01","WsusService","WSUS Service","Running","Auto","5320","Healthy"
"SRV01","W3SVC","World Wide Web Publishing Service","Running","Auto","3108","Healthy"
"SRV01","MSSQL$MICROSOFT##WID","Windows Internal Database","Running","Auto","5564","Healthy"
"SRV01","WinRM","Windows Remote Management (WS-Management)","Running","Auto","3184","Healthy"
"SRV01","LanmanServer","Server","Running","Auto","2860","Healthy"
