"(PDH-CSV 4.0) (Asia/Singapore)(-480)","\\srv01\memory\available mbytes",
"2026-6-25 1:41:49.451","959",
"2026-6-25 1:41:50.453","959",
"2026-6-25 1:41:51.455","960",
"2026-6-25 1:41:52.458","959",
"2026-6-25 1:41:53.738","959",
"2026-6-25 1:41:54.486","959",
"2026-6-25 1:41:55.489","960",
"2026-6-25 1:41:56.489","959",
"2026-6-25 1:41:57.492","959",
"2026-6-25 1:41:58.497","959",
"2026-6-25 1:41:59.504","960",
"2026-6-25 1:42:0.508","959",
"2026-6-25 1:42:1.510","959",
"2026-6-25 1:42:2.517","959",
"2026-6-25 1:42:3.519","960",
"2026-6-25 1:42:4.523","959",
"2026-6-25 1:42:5.520","959",
"2026-6-25 1:42:6.523","960",
"2026-6-25 1:42:7.527","961",
"2026-6-25 1:42:8.538","960",
"2026-6-25 1:42:9.538","960",
"2026-6-25 1:42:10.538","960",
"2026-6-25 1:42:11.542","961",
"2026-6-25 1:42:12.545","960",
"2026-6-25 1:42:13.557","960",
"2026-6-25 1:42:14.557","960",
"2026-6-25 1:42:15.567","961",
"2026-6-25 1:42:16.567","968",
"2026-6-25 1:42:17.582","965",
"2026-6-25 1:42:18.583","966",
"2026-6-25 1:42:19.589","966",
"2026-6-25 1:42:20.594","966",
"2026-6-25 1:42:21.595","967",
"2026-6-25 1:42:22.599","966",
"2026-6-25 1:42:23.599","967",
"2026-6-25 1:42:24.598","967",
"2026-6-25 1:42:25.601","967",
"2026-6-25 1:42:27.028","967",
"2026-6-25 1:42:27.604","967",
"2026-6-25 1:42:28.604","967",
"2026-6-25 1:42:29.614","967",
"2026-6-25 1:42:30.608","967",
"2026-6-25 1:42:31.607","970",
"2026-6-25 1:42:32.608","971",
"2026-6-25 1:42:33.624","969",
"2026-6-25 1:42:34.628","970",
"2026-6-25 1:42:35.627","971",
"2026-6-25 1:42:36.645","970",
"2026-6-25 1:42:37.644","970",
"2026-6-25 1:42:38.655","971",
"2026-6-25 1:42:39.665","976",
"2026-6-25 1:42:40.664","981",
"2026-6-25 1:42:41.666","979",
"2026-6-25 1:42:42.667","980",
"2026-6-25 1:42:43.673","980",
"2026-6-25 1:42:44.678","980",
"2026-6-25 1:42:45.677","981",
"2026-6-25 1:42:46.792","981",
"2026-6-25 1:42:47.679","984",
"2026-6-25 1:42:48.680","981",
"2026-6-25 1:42:49.802","981",
"2026-6-25 1:42:50.705","981",
"2026-6-25 1:42:51.719","982",
"2026-6-25 1:42:52.721","982",
"2026-6-25 1:42:53.725","982",
"2026-6-25 1:42:54.733","981",
"2026-6-25 1:42:55.731","982",
"2026-6-25 1:42:56.743","983",
"2026-6-25 1:42:57.745","982",
"2026-6-25 1:42:59.748","983",
"2026-6-25 1:43:0.754","982",
"2026-6-25 1:43:1.766","982",
"2026-6-25 1:43:2.771","983",
"2026-6-25 1:43:3.907","985",
"2026-6-25 1:43:4.770","982",
"2026-6-25 1:43:5.779","982",
"2026-6-25 1:43:6.777","982",
"2026-6-25 1:43:7.778","983",
"2026-6-25 1:43:8.793","943",
"2026-6-25 1:43:9.794","934",
"2026-6-25 1:43:10.795","919",
"2026-6-25 1:43:11.798","919",
"2026-6-25 1:43:12.799","918",
"2026-6-25 1:43:13.803","924",
"2026-6-25 1:43:14.801","917",
"2026-6-25 1:43:15.802","919",
"2026-6-25 1:43:16.803","917",
"2026-6-25 1:43:17.802","920",
"2026-6-25 1:43:19.072","918",
"2026-6-25 1:43:20.085","926",
"2026-6-25 1:43:20.826","915",
"2026-6-25 1:43:21.827","919",
"2026-6-25 1:43:22.837","920",
"2026-6-25 1:43:23.840","921",
"2026-6-25 1:43:25.164","927",
"2026-6-25 1:43:25.847","911",
"2026-6-25 1:43:26.848","917",
"2026-6-25 1:43:27.846","920",
"2026-6-25 1:43:29.215","919",
"2026-6-25 1:43:30.223","926",
"2026-6-25 1:43:30.865","918",
"2026-6-25 1:43:31.877","928",
"2026-6-25 1:43:32.880","925",
"2026-6-25 1:43:34.901","925",
"2026-6-25 1:43:35.906","921",
"2026-6-25 1:43:36.910","924",
"2026-6-25 1:43:37.913","925",
"2026-6-25 1:43:38.913","925",
"2026-6-25 1:43:39.912","925",
"2026-6-25 1:43:40.916","920",
"2026-6-25 1:43:41.914","925",
"2026-6-25 1:43:42.935","934",
"2026-6-25 1:43:43.927","925",
"2026-6-25 1:43:44.941","923",
"2026-6-25 1:43:45.941","920",
"2026-6-25 1:43:46.941","924",
"2026-6-25 1:43:47.971","927",
"2026-6-25 1:43:48.958","920",
"2026-6-25 1:43:49.957","924",
"2026-6-25 1:43:50.958","925",
"2026-6-25 1:43:51.966","918",
"2026-6-25 1:43:52.963","924",
"2026-6-25 1:43:53.964","927",
"2026-6-25 1:43:54.975","923",
